ID,location_name,lat,long
2356407,Poin,11.4,-2.33333
2356408,Poïkoro,10.15,-3.95
2356409,Païdogo,13.59222,-2.39026
2356410,Poï,11.45,-2.56667
2356411,Pohiro,10.01667,-3.38333
2356412,Nimbo,13.83823,-2.60927
2356413,Pogowol,14.02845,-1.56012
2356414,Pogoro,13.75706,-2.43134
2356415,Pogoro,13.61904,-1.80471
2356416,Pogonaoma,13.7073,-1.37152
2356417,Pogol Ngoradji,14.3886,-0.9676
2356418,Pogol Dimé,14.45565,-0.86219
2356419,Pogol Diamé,14.49583,-0.91871
2356420,Pogoldè,13.92061,-1.03683
2356421,Pogol,14.38514,-1.68702
2356423,Poèssén,12.13333,-0.3
2356424,Poessen,12.11667,-0.36667
2356425,Poéssé,12.68333,-2.13333
2356426,Poèssé,12.55,-2.11667
2356427,Poéssé,12.35,-0.46667
2356428,Poéssé,12.23333,-0.41667
2356429,Poéssé,12.16667,-0.21667
2356430,Poëssé,11.93333,-0.36667
2356431,Poéssé,12.72584,-1.07929
2356432,Poédro,13.21788,-1.1362
2356433,Poédogo,12.39939,-1.8202
2356434,Péodogo,12.76489,-1.31777
2356435,Poédogo I,12.4845,-1.43267
2356436,Nagréongo,12.47847,-1.20129
2356437,Péodogo,12.32639,-1.66787
2356438,Poédogo,12.13333,-0.73333
2356439,Poé,11.66667,-2.56667
2356440,Podébokou,13.90579,-2.08178
2356441,Pobouro,10.06667,-3.21667
2356442,Poboro,10.0,-3.31667
2356443,Poboro,9.81667,-3.06667
2356444,Pobé Mengao,13.89972,-1.76556
2356445,Pobé,13.88222,-1.7516
2356446,Poalogo,13.40267,-1.6238
2356447,Forêt Classée de Poa,11.16142,-4.22377
2356448,Poa,12.36667,-2.66667
2356449,Poa,12.21667,-2.1
2356450,Poa,11.68333,-1.83333
2356451,Poa,11.45,-3.0
2356452,Forêt Classée de Pô,11.33333,-1.16667
2356453,Pô,12.3,-2.61667
2356454,Pô,11.16972,-1.145
2356455,Plansé,11.83333,-2.9
2356456,Plandi,11.31085,-4.82111
2356457,Piyou,13.22814,-0.06337
2356458,Pitou,11.28333,-0.5
2356459,Pitmoaga,12.24564,-1.88148
2356460,Piti,12.08333,-0.63333
2356461,Pitenga,13.19909,-1.66843
2356462,Pitenga,11.91667,-0.16667
2356463,Pitayré,13.7276,-1.3451
2356464,Pissongé,11.91667,-0.03333
2356465,Pissi Sobogo,12.11667,-0.05
2356466,Pissin,10.65,-2.95
2356467,Pissila,13.16417,-0.8225
2356468,Pissiga,12.82608,-1.14046
2356469,Pissiga,12.63333,-0.86667
2356470,Pissié,11.1,-1.85
2356471,Pissi,13.51594,-1.51492
2356472,Pissi,13.03003,-0.36613
2356473,Pissi,12.72146,-1.04399
2356474,Pissi,12.48333,-0.46667
2356475,Pissi,12.48333,-0.21667
2356476,Pissi,12.46667,-0.5
2356477,Pissy,12.33815,-1.56503
2356478,Pissi,12.33333,-0.95
2356479,Pissi,12.13944,-1.38577
2356480,Pissi,12.07441,-1.48544
2356481,Pissi,11.62083,-1.21917
2356482,Pissi,11.53333,-1.0
2356483,Pissélé,13.69248,-1.48188
2356484,Pissalogo,12.23333,-0.4
2356485,Pissalé,11.83333,-0.01667
2356486,Pissilparalé,12.88357,-1.58856
2356487,Pisèn,13.24689,-1.22693
2356488,Pissin,12.24117,-1.79761
2356489,Pisanianga,14.01587,-0.6959
2356490,Pirkon,11.11667,-2.91667
2356491,Piri,10.16667,-2.83333
2356492,Pinga Sogodin,13.34094,-2.58985
2356493,Pira,10.3,-3.06667
2356494,Pipiléré,12.73333,-2.3
2356495,Piorogho,11.83333,-0.38333
2356496,Pio,13.1517,-4.283
2356497,Pintou,10.85,-2.88333
2356498,Pinssin,11.48333,-0.91667
2356499,Pensa,13.64056,-0.80944
2356500,Pinou,12.46667,-2.26667
2356501,Pinon,11.8,-2.28333
2356502,Pinkan,12.15,-3.25
2356503,Pinikon,12.25,-3.55
2356504,Pini,13.2643,-3.2818
2356505,Pingolé,10.56667,-5.11667
2356506,Pinaptenga,12.06046,-1.49759
2356507,Pina,11.15,-2.63333
2356508,Pimpigou,12.42617,1.33957
2356510,Pibsé,12.03384,-1.38518
2356511,Pilorguen,12.08333,-0.13333
2356512,Pilodé,13.5541,-2.87229
2356513,Pilingara,10.25,-2.98333
2356514,Pilimpikou,12.71667,-2.26667
2356515,Piliktenga,12.77956,-1.54094
2356516,Piliki,14.14718,-0.06847
2356517,Piliga,13.30544,-0.5721
2356518,Pilifou,13.35647,-1.01075
2356519,Pilèmpiguidi,12.35,0.58333
2356520,Pilarka,12.13333,-0.76667
2356521,Piladi,14.26458,-1.58035
2356522,Pikalia,11.1,-1.73333
2356523,Pihigui,12.81158,-1.35466
2356524,Pigodo,12.3,-0.81667
2356525,Pighin,12.62503,-1.48643
2356526,Pigahiri,11.25,-1.13333
